gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2688543203	465	42.73	9	454	1	407	4.0e-117	415	COG0593	Chromosomal replication initiation ATPase DnaA	408
2688543204	222	32.83	20	217	24	218	3.0e-28	118	COG4318	Uncharacterized protein	221
2688543205	410	24.88	55	247	5	202	8.0e-14	71.8	COG0625	Glutathione S-transferase	211
2688543207	455	36.24	4	454	2	453	3.0e-108	385	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	454
2688543209	501	25.74	5	500	5	533	3.0e-54	206	COG2303	Choline dehydrogenase or related flavoprotein	542
2688543210	198	41.49	12	198	20	207	7.0e-39	153	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	209
2688543211	562	51.31	18	547	1	530	0.0e+00	532	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1	566
2688543212	311	30	21	258	1	220	7.0e-37	147	COG1622	Heme/copper-type cytochrome/quinol oxidase, subunit 2	247
2688543213	206	32.76	17	190	5	152	1.0e-19	89.9	COG4244	Uncharacterized membrane protein	160
2688543214	166	41.29	8	162	6	160	2.0e-28	118	COG4244	Uncharacterized membrane protein	160
2688543215	359	39.1	1	311	15	319	4.0e-45	175	COG0530	Ca2+/Na+ antiporter	320
2688543216	556	36.61	12	552	17	551	8.0e-98	351	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2688543217	343	61.63	1	340	1	344	0.0e+00	494	COG0418	Dihydroorotase	344
2688543218	100	20.41	3	100	36	126	1.0e-03	35.3	COG0526	Thiol-disulfide isomerase or thioredoxin	127
2688543222	269	46.95	9	269	4	264	1.0e-80	293	COG0159	Tryptophan synthase alpha chain	265
2688543224	89	31.11	4	89	3	92	5.0e-12	62.6	COG2350	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	92
2688543228	166	23.48	10	141	2	133	1.0e-11	62.9	COG3431	Uncharacterized membrane protein, DUF373 family	142
2688543232	308	37.69	4	308	10	341	9.0e-60	224	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	342
2688543233	163	36.05	14	160	4	150	4.0e-30	124	COG3556	Uncharacterized membrane protein	150
2688543236	222	61.32	4	109	3	108	3.0e-44	171	COG0139	Phosphoribosyl-AMP cyclohydrolase	111
2688543237	158	21.88	20	147	14	124	3.0e-09	55	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
2688543238	875	56.28	20	875	1	782	0.0e+00	961	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	786
